"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-15","Channel-14","Channel-13","Channel-12","Channel-11","Channel-10","Channel-9","Channel-8","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
1078189,4399,500000,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1
1078192,4402,500000,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1
1078195,4405,500000,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1
1078197,4407,500000,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1
1078200,4410,500000,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1
1078203,4413,500000,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1
1078205,4415,500000,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1
1078208,4418,500000,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1
1078211,4421,500000,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1
1078213,4423,500000,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1078216,4426,500000,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1
1078219,4429,500000,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
1078221,4431,500000,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1
1078224,4434,500000,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
1078227,4437,500000,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1
1078229,4439,500000,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
1078232,4442,500000,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1
1078235,4445,500000,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
1078237,4447,500000,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1
1078240,4450,500000,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1
1078243,4453,500000,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1
1078245,4455,500000,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1
1078248,4458,500000,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1
1078251,4461,500000,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1
1078253,4463,500000,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1
1078256,4466,500000,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1
1078259,4469,500000,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1
1078261,4471,500000,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1
1078264,4474,500000,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1
1078267,4477,500000,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1
1078269,4479,500000,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1
1078272,4482,500000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1078275,4485,500000,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
1078277,4487,500000,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1
1078280,4490,500000,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1
1078283,4493,500000,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1078285,4495,500000,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
1078288,4498,500000,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1
1078291,4501,500000,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1
1078293,4503,500000,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
1078296,4506,500000,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1
1078299,4509,500000,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
1078301,4511,500000,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1
1078304,4514,500000,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1
